27/05/20223;332h341,0m3;3257,0°;339h331,5m3;3350,9°S;316h337,2m3;3107,7°;33;
28/05/20223;332h358,1m3;3248,9°;310h315,2m3;3356,1°S;317h347,7m3;3115,7°;33;
29/05/20223;333h318,1m3;3241,5°;311h330,5m3;3360,5°S;318h357,8m3;3122,7°;33;
30/05/20223;333h342,5m3;3235,2°;311h347,8m3;3364,1°S;320h335,9m3;3128,2°;NL;
31/05/20223;334h313,3m3;3230,4°;312h337,0m3;3366,5°S;321h339,2m3;3131,8°;33;




01/06/20223;334h352,5m3;3227,6°;313h327,5m3;3367,7°S;322h334,9m3;3133,0°;33;
02/06/20223;335h341,3m3;3227,1°;314h318,2m3;3367,5°S;322h350,9m3;3131,9°;33;
03/06/20223;336h339,1m3;3229,0°;315h338,2m3;3366,0°S;323h327,5m3;3128,5°;33;
04/06/20223;337h343,5m3;3233,1°;315h356,6m3;3363,3°S;323h356,2m3;3123,3°;33;
05/06/20223;338h351,9m3;3239,0°;316h343,1m3;3359,5°S;33333333333;3333333;33;
06/06/20223;310h332,1m3;3246,2°;317h328,0m3;3354,8°S;330h319,2m3;3116,7°;33;
07/06/20223;311h313,1m3;3254,5°;318h311,8m3;3349,4°S;330h338,3m3;3109,1°;PQ;
08/06/20223;312h325,3m3;3263,5°;318h355,6m3;3343,4°S;330h355,2m3;3100,7°;33;
09/06/20223;313h339,6m3;3273,1°;319h340,6m3;3337,1°S;331h311,1m3;3391,7°;33;
10/06/20223;314h357,2m3;3282,9°;320h328,0m3;3330,8°S;331h327,4m3;3382,4°;33;
11/06/20223;316h319,4m3;3292,7°;321h319,3m3;3324,7°S;331h345,4m3;3372,9°;33;
12/06/20223;317h346,0m3;3301,7°;322h315,8m3;3319,4°S;332h337,2m3;3363,7°;33;
13/06/20223;319h314,0m3;3309,1°;323h317,6m3;3315,5°S;332h335,6m3;3355,5°;33;
14/06/20223;320h336,4m3;3313,4°;33333333333;33333333;333h314,7m3;3349,2°;PL;
15/06/20223;321h344,9m3;3313,7°;330h323,7m3;3313,5°S;334h338,9m3;3346,0°;33;
